"LED76","NA","NSL_SPARKFUN_LED-1206","19304","36830","0","0"
"LED77","NA","NSL_SPARKFUN_LED-1206","19304","40386","0","0"
"LED78","NA","NSL_SPARKFUN_LED-1206","19304","43942","0","0"
"LED79","NA","NSL_SPARKFUN_LED-1206","19304","47498","0","0"
"LED80","NA","NSL_SPARKFUN_LED-1206","19304","51054","0","0"
"LED81","NA","NSL_SPARKFUN_LED-1206","25908","-2286","0","0"
"LED82","NA","NSL_SPARKFUN_LED-1206","25908","1270","0","0"
"LED83","NA","NSL_SPARKFUN_LED-1206","25908","4826","0","0"
"LED84","NA","NSL_SPARKFUN_LED-1206","25908","8382","0","0"
"LED85","NA","NSL_SPARKFUN_LED-1206","25908","11938","0","0"
"LED86","NA","NSL_SPARKFUN_LED-1206","25908","15494","0","0"
"LED87","NA","NSL_SPARKFUN_LED-1206","25908","19050","0","0"
"LED88","NA","NSL_SPARKFUN_LED-1206","25908","22606","0","0"
"LED89","NA","NSL_SPARKFUN_LED-1206","25908","26162","0","0"
"LED90","NA","NSL_SPARKFUN_LED-1206","25908","29718","0","0"
"LED91","NA","NSL_SPARKFUN_LED-1206","25908","33274","0","0"
"LED92","NA","NSL_SPARKFUN_LED-1206","25908","36830","0","0"
"LED93","NA","NSL_SPARKFUN_LED-1206","25908","40386","0","0"
"LED94","NA","NSL_SPARKFUN_LED-1206","25908","43942","0","0"
"LED95","NA","NSL_SPARKFUN_LED-1206","25908","47498","0","0"
"LED96","NA","NSL_SPARKFUN_LED-1206","25908","51054","0","0"
"LED97","NA","NSL_SPARKFUN_LED-1206","32512","-2286","0","0"
"LED98","NA","NSL_SPARKFUN_LED-1206","32512","1270","0","0"
"LED99","NA","NSL_SPARKFUN_LED-1206","32512","4826","0","0"
"LED100","NA","NSL_SPARKFUN_LED-1206","32512","8382","0","0"
"LED101","NA","NSL_SPARKFUN_LED-1206","32512","11938","0","0"
"LED102","NA","NSL_SPARKFUN_LED-1206","32512","15494","0","0"
"LED103","NA","NSL_SPARKFUN_LED-1206","32512","19050","0","0"
"LED104","NA","NSL_SPARKFUN_LED-1206","32512","22606","0","0"
"LED105","NA","NSL_SPARKFUN_LED-1206","32512","26162","0","0"
"LED106","NA","NSL_SPARKFUN_LED-1206","32512","29718","0","0"
"LED107","NA","NSL_SPARKFUN_LED-1206","32512","33274","0","0"
"LED108","NA","NSL_SPARKFUN_LED-1206","32512","36830","0","0"
"LED109","NA","NSL_SPARKFUN_LED-1206","32512","40386","0","0"
"LED110","NA","NSL_SPARKFUN_LED-1206","32512","43942","0","0"
"LED111","NA","NSL_SPARKFUN_LED-1206","32512","47498","0","0"
"LED112","NA","NSL_SPARKFUN_LED-1206","32512","51054","0","0"
"LED113","NA","NSL_SPARKFUN_LED-1206","39116","-2286","0","0"
"LED114","NA","NSL_SPARKFUN_LED-1206","39116","1270","0","0"
"LED115","NA","NSL_SPARKFUN_LED-1206","39116","4826","0","0"
"LED116","NA","NSL_SPARKFUN_LED-1206","39116","8382","0","0"
"LED117","NA","NSL_SPARKFUN_LED-1206","39116","11938","0","0"
"LED118","NA","NSL_SPARKFUN_LED-1206","39116","15494","0","0"
"LED119","NA","NSL_SPARKFUN_LED-1206","39116","19050","0","0"
"LED120","NA","NSL_SPARKFUN_LED-1206","39116","22606","0","0"
"LED121","NA","NSL_SPARKFUN_LED-1206","39116","26162","0","0"
"LED122","NA","NSL_SPARKFUN_LED-1206","39116","29718","0","0"
"LED123","NA","NSL_SPARKFUN_LED-1206","39116","33274","0","0"
"LED124","NA","NSL_SPARKFUN_LED-1206","39116","36830","0","0"
"LED125","NA","NSL_SPARKFUN_LED-1206","39116","40386","0","0"
"LED126","NA","NSL_SPARKFUN_LED-1206","39116","43942","0","0"
"LED127","NA","NSL_SPARKFUN_LED-1206","39116","47498","0","0"
"LED128","NA","NSL_SPARKFUN_LED-1206","39116","51054","0","0"
"LED129","NA","NSL_SPARKFUN_LED-1206","45720","-2286","0","0"
"LED130","NA","NSL_SPARKFUN_LED-1206","45720","1270","0","0"
"LED131","NA","NSL_SPARKFUN_LED-1206","45720","4826","0","0"
"LED132","NA","NSL_SPARKFUN_LED-1206","45720","8382","0","0"
"LED133","NA","NSL_SPARKFUN_LED-1206","45720","11938","0","0"
"LED134","NA","NSL_SPARKFUN_LED-1206","45720","15494","0","0"
"LED135","NA","NSL_SPARKFUN_LED-1206","45720","19050","0","0"
"LED136","NA","NSL_SPARKFUN_LED-1206","45720","22606","0","0"
"LED137","NA","NSL_SPARKFUN_LED-1206","45720","26162","0","0"
"LED138","NA","NSL_SPARKFUN_LED-1206","45720","29718","0","0"
