%,Origin,Offset,X,Y,,
65535,0,45.00,-71.00,,

%,Stack,Offset,Stack,X,Y,
58,1,3,40.22,25.07,90,0.50,0,C211,100nF-RLC_0603
59,1,3,32.64,6.10,0,0.50,0,C212,100nF-RLC_0603
60,1,2,63.63,3.68,-90,0.50,0,R4,10K-RLC_0603
61,1,2,66.61,7.81,-90,0.50,0,R5,10K-RLC_0603
62,1,2,32.51,2.67,-180,0.50,0,R13,10K-RLC_0603
63,1,2,34.16,2.67,0,0.50,0,R14,10K-RLC_0603
64,1,2,18.16,16.89,-180,0.50,0,R15,10K-RLC_0603
65,1,2,24.89,17.27,-180,0.50,0,R17,10K-RLC_0603
66,1,2,30.86,13.34,-180,0.50,0,R18,10K-RLC_0603
67,1,2,31.81,10.16,-180,0.50,0,R19,10K-RLC_0603
68,1,5,5.08,33.91,0,0.50,0,R22,33Ohm-RLC_0603
69,1,1,38.86,37.21,90,0.50,0,R23,1K-RLC_0603
70,1,1,90.17,32.38,0,0.50,0,R24,1K-RLC_0603
71,1,1,84.84,26.29,0,0.50,0,R25,1K-RLC_0603
72,1,5,6.99,33.91,0,0.50,0,R27,33Ohm-RLC_0603
73,1,5,3.18,33.91,0,0.50,0,R28,33Ohm-RLC_0603
74,1,5,8.76,33.91,0,0.50,0,R29,33Ohm-RLC_0603
75,1,7,27.69,27.81,0,0.50,0,R33,2.4K-RLC_0603
76,1,2,17.40,27.91,0,0.50,0,R34,10K-RLC_0603
77,1,1,35.12,11.30,-90,0.50,0,R39,1K-RLC_0603
78,1,2,18.29,7.24,-90,0.50,0,R40,10K-RLC_0603
79,1,1,35.05,9.53,-90,0.50,0,R44,1K-RLC_0603
80,1,2,10.67,33.91,0,0.50,0,R45,10K-RLC_0603
81,1,2,1.40,33.91,0,0.50,0,R46,10K-RLC_0603
82,1,2,37.08,23.37,-90,0.50,0,R47,10K-RLC_0603
83,1,7,28.83,31.12,90,0.50,0,R49,2.4K-RLC_0603
84,1,2,15.65,27.89,0,0.50,0,R50,10K-RLC_0603
85,1,7,28.96,32.77,-90,0.50,0,R51,2.4K-RLC_0603
86,1,4,47.75,34.67,-90,0.50,0,R52,100Ohm-RLC_0603
87,1,4,43.31,35.94,90,0.50,0,R54,100Ohm-RLC_0603
88,1,2,64.62,43.59,-90,0.50,0,R61,10K-RLC_0603
89,1,2,64.62,45.68,-90,0.50,0,R62,10K-RLC_0603
90,1,2,64.62,47.87,-90,0.50,0,R63,10K-RLC_0603
91,1,2,67.40,46.21,-180,0.50,0,R64,10K-RLC_0603
92,1,2,89.65,11.97,90,0.50,0,R69,10K-RLC_0603
93,1,2,84.77,11.99,-90,0.50,0,R70,10K-RLC_0603
94,1,2,76.84,39.88,-180,0.50,0,R71,10K-RLC_0603
95,1,2,38.91,35.39,-90,0.50,0,R102,10K-RLC_0603
96,1,4,63.62,26.34,90,0.50,0,R319,100Ohm-RLC_0603
